question,category
 Examine with reference to relevant case-law as to when acceptance need not be communicated.,CONTRACT ACT
Where there is a family settlement in writing and a family member who is not a party to the settlement wishes to enforce his claim,CONTRACT ACT
Where an orphanage wishes to enforce a promise made by a philanthropist to donate a specified sum.,CONTRACT ACT
"An agreement to create an agency, in which consideration is absent.",CONTRACT ACT
"According to Section 185, of the Indian Contract Act, 1872 an agreement creating an agencythough devoid of consideration, is valid and can be enforced.",CONTRACT ACT
" In what kind of contracts, time is of essence?",CONTRACT ACT
Briefly explain the positions of sub-agent and substituted agent under the law of agency,CONTRACT ACT
"When performance of a promise becomes impossible on account of subsequent developments ofevents or changes in circumstances, which are beyond the contemplation of parties, the contract becomesvoid. Such supervening impossibility can arise due to variety of circumstances ",CONTRACT ACT
Accidental destruction of the subject matter of the contract,CONTRACT ACT
Non-existence or non occurrence of a particular state of things,CONTRACT ACT
Incapacity to perform a contract of personal services.,CONTRACT ACT
Ajit sees a book displayed in a shelf of a book shop with a price tag of Rs. 95. Ajit tenders Rs.95 at thecounter and asks for the book. The bookseller refuses to sell saying that the book has already been sold to someone else and he does not have another copy of that book in the stock. Is the bookseller bound to sellthe book to Ajit?,CONTRACT ACT
" X offered to sell his house to Y for Rs.50,000. Y accepted the offer by E-mail. On the next day Y sent a fax revoking the acceptance which reached X before the Email. Is the revocation of acceptance valid?Would it make any difference if both the E-mail of acceptance and the fax of revocation of acceptancereach X at the same time?",CONTRACT ACT
"Mr. Mohan an industrialist has been fighting a long drawn litigation with Mr. Kamal, anotherindustrialist. To support his legal campaign Mr. Mohan enlists the services of Mr. Anil a legal expert stating that an amount of Rs.5 lakhs would be paid, if Mr. Anil does not take up the brief of Mr. Kamal. Mr. Anil agrees, but at the end of the litigation Mr. Mohan refuses to pay. Decided whether Mr. Anil canrecover the amount promised by Mr. Mohan under the provisions of the Indian Contract Act, 1872",CONTRACT ACT
"Ramesh instructed Suresh, a transporter, to send a consignment of apples to Mumbai. After coveringhalf the distance, Suresh found that the apples will perish before reaching Mumbai. He sold the same athalf the market price. Ramesh sued Suresh. Will he succeed",CONTRACT ACT
"X offered to sell his land to N for Rs. 28,000/-. N replied purporting to accept the offer and enclosed acheque for Rs. 8,000/-. He also promised to pay the balance of Rs. 20,000/- in monthly installments of Rs.5,000/- each. Examine the legal position",CONTRACT ACT
"It is not a valid acceptance and no contract can come into being. In fact this problem is similar tothe facts of Neale vs. Merret [1930] W.N 189, where M offered to sell his land to N for £ 280. N replied purporting to accept the offer but enclosed a cheque for £ 80 only. He promised to pay the balance of £200 by monthly installments of £ 50. It was held that N could not enforce his acceptance because it wasnot an unqualified one",CONTRACT ACT
"This problem is similar to the facts of Union of India v. Bahulal (AIR 1968 Bombay 294) case,wherein A offered to sell his house to B for Rs. 1000/-",CONTRACT ACT
", to which B replied that, “I can pay Rs.800 for it”.Consequently, the offer of „A‟ is rejected by „B‟ as the aceptance is not unqualified. But when B later",CONTRACT ACT
"changes his mind and is prepared to pay Rs. 1000/-, it becomes a counter offer and it is up ",CONTRACT ACT
"Miss.Chitra, a singer, enters in to a contract with the manager of Bangalore Gate Club, to sing in theClub for two concerts every week during the next two months and the club agrees to pay her at the rate of Rs.2000 for each concert. On the seventh concert Miss.Chitra willfully absents herself. With the assent ofthe manager of the club, Miss.Chitra sings for the eighth concert. But on the following day, the club, putsan end to the contract. Can Miss.Chitra claim damages for breach of contract? Advice",CONTRACT ACT
"a watch repairer, repaired B‟s watch for a total charge of Rs. 20. Before B took delivery of the watch the
 shop caught fire through no fault of A, and B‟s watch was destroyed.",CONTRACT ACT
" Ram, Rahim and Robert are partners of software business and jointly promises to pay Rs.30, 000 to Raheja. Over a period of time Rahim became insolvent, but his assets are sufficient to pay one-forth of hisdebts. Robert is compelled to pay the whole. Decide whether Robert is required to pay whole amounthimself to Raheja in discharging joint promise",CONTRACT ACT
"A promised to pay B for his services at his (A) sole discretion which found to be fair and reasonable. However, B dissatisfied with the payment made by A and wanted to sue him. Decide whether B can sue Aunder the provisions of Indian Contract Act, 1872?",CONTRACT ACT
"Ajay induced Anil to buy his car saying that it was in a very good condition. After taking the car, Anilcomplained that there were many defects in the car. Ajay proposed to get it repaired and promised to pay50% cost of repairs. After a few days, the car did not work at all. Now Anil wants to rescind the contract. Decide giving reasons",CONTRACT ACT
"X advances to Y Rs.10,000 on the guarantee of Z. The loan carries interest at ten percent per annum.Subsequently, Y becomes financially embarrassed. On Y‟s request, X reduces the interest to six per cent  per annum and does not sue Y for one year after the loan becomes due. Y becomes insolvent. Can X sue Z?",CONTRACT ACT
Where there is a family settlement in writing and a family member who is not a party to the settlement wishes to enforce his claim,CONTRACT ACT
Where an orphanage wishes to enforce a promise made by a philanthropist to donate a specified sum,CONTRACT ACT
"An agreement to create an agency, in which consideration is absent.",CONTRACT ACT
"A entered into an agreement with S to deliver five dozen bottles of a particular brand of champagneto be manufactured in his factory. The champagne could not be manufactured because of strike by theworkers and A failed to supply the said dozen of champagne to S. Decide whether A can be exempted from liability under the provisions of the Indian Contract Act, 1872",CONTRACT ACT
X buys from Y a painting which both believes to be the work of an old master and for which X pays ahigh price. The painting turns out to be only a modern copy ,CONTRACT ACT
"R gives his umbrella to M during raining season to be used for two days during Examinations. M keeps the umbrella for a week. While going to R‟s house to return the umbrella ,M accidently slips and the umbrella is badly damaged. Who bear the loss and why?",CONTRACT ACT
"Mr. Aman of Kolkata engaged Mr. Singh as his agent to buy a house in East Extension area. Mr.Singh bought a house for Rs.20 lakhs in the name of a nominee and then purchased it himself for Rs.24lakhs. He then sold the same house to Mr Aman for Rs.26 lakhs. Mr. Aman later comes to know themischief of Mr. Singh and tries to recover the excess amount paid to Mr. Singh. Is he entitled to recoverany amount from Mr. Singh? If so, how much?",CONTRACT ACT
"M owes money to N under a contract. It is agreed between M, N and O that N shall henceforth acceptO as his debtor instead of A. Referring to the provisions of the Indian Contract Act, 1872, state whether Ncan claim payment from O?",CONTRACT ACT
"Sohan induced Suraj to buy his motorcycle saying that it was in a very good condition. After takingthe motorcycle, Suraj complained that there were many defects in the motorcycle. Sohan proposed to getit repairedand promised to pay 40% cost of repairs After a few days, the motorcycle did not work at all. Now Surajwants to rescind the contract. Decide giving reasons",CONTRACT ACT
"Father promised to pay his son a sum of Rs. One lakh if the son passed C.A. examination in the firstattempt. The son passed the examination in the first attempt, but father failed to pay the amount as promised. Son files a suit for recovery of the amount. State along with reasons whether son can recoverthe amount under the Indian Contract Act, 1872.",CONTRACT ACT
"M advances to N Rs.5,000 on the guarantee of P. The loan carries interest at ten percent per annum Subsequently, N becomes financ
ially embarrassed. On N‟s request, M reduces the interest to six per cent per annum and does not sue N for one year after the loan becomes due. N becomes insolvent. Can M sue P?",CONTRACT ACT
"Ajay, Vijay and Sanjay are partners of software business and jointly promises to pay Rs.60, 000 to Kartik. Over a period of time Vijay became insolvent, but his assets are sufficient to pay one-forth of hisdebts. Sanjay is compelled to pay the whole. Decide whether Sanjay is required to pay whole amounthimself to Kartik in discharging joint promise",CONTRACT ACT
"Ramaswami proposed to sell his house to Ramanathan. Ramanathan sent his acceptance by post. Nextday, Ramanathan sends a telegram withdrawing his acceptance. Examine the validity of the acceptancein the light of the following:the telegram of revocation of acceptance was received by Ramaswami before the letter ofacceptance",CONTRACT ACT
A contracts with B for a fixed price to construct a house for B within a stipulated time. B would  supply the necessary material to be used in the construction. C guarantees A‟s performance of the contract. B does not supply the material as per the agreement. Is C discharged from his liability ,CONTRACT ACT
"Shambhu Dayal started “self service” system in his shop. Smt. Prakash entered the shop, took a basket and after taking articles of her choice into the basket reached the cashier for payments. Thecashier refuses to accept the price. Can Shambhu Dayal be compelled to sell the said articles to Smt. Prakash? Decide",CONTRACT ACT
